mediaid,tags
mrhv,"[u'ethereal', u'downtempo', u'dreamy', u'minnesota', u'mesmerizing', u'shimmery', u'chillout', u'fluorescent', u'minneapolis', u'hypnotic']"
1fz16,[u'my shit']
s486,"[u'indie', u'french', u'catchy', u'dance', u'indie pop', u'indie rock', u'alternative', u'electronic', u'pop', u'phoenix']"
r4gh,"[u'indie pop', u'todorcicl', u'indie', u'electronic', u'indie rock']"
w7mw,"[u'mashup', u'rock', u'rap']"
23wf2,"[u'folk', u'indie', u'pop', u'singer-songwriter', u'indie folk', u'male vocalists', u'the bedford']"
24jdj,"[u'hip hop', u'rap', u'underground hip hop']"
rtw7,"[u'indie', u'electronic', u'indietronica', u'indie pop', u'electro', u'electropop', u'pop', u'female vocals', u'indiena sound', u'edit']"
pdpr,"[u'electronic', u'happy', u'catchy', u'cheerful', u'uplifting', u'electronica', u'norwegian', u'chillout', u'r\xf6yksopp', u'awesome']"
1kze6,"[u'electronic', u'pop', u'female vocalist', u'indie pop', u'indie', u'british', u'electronica', u'britpop']"
1f545,"[u'house', u'electronic', u'french']"
j6kn,"[u'hip hop', u'female vocalist', u'pop-hop', u'diplo', u'vocal', u'club misfits', u'free-hop', u'rhymes', u'fem rap', u'remixes']"
234rw,"[u'experimental', u'beats', u'abstract', u'spacehop', u'electronic']"
1m1bd,"[u'dubstep', u'dub', u'epic']"
20xm4,"[u'indie rock', u'folk', u'indie', u'folk rock', u'rock']"
238f5,"[u'indie', u'electropop', u'electronic', u'indie pop', u'electronica']"
237kw,"[u'electro', u'seductive', u'dark-ish', u'again', u'under 5000 listeners', u'dar paklausyti daugiau']"
236fk,"[u'folk', u'indie', u'singer-songwriter', u'pop', u'under 2010s0 listeners']"
1zm6w,"[u'swedish', u'rap', u'hip hop', u'roskilde 07', u'roskilde 2007', u'ghettotech']"
1z53b,"[u'hip hop', u'rap', u'electronic', u'female vocalist', u'hip-house']"
205p1,"[u'female vocalist', u'malaysian', u'indie', u'folk', u'acoustic', u'singer-songwriter', u'malaysia']"
205dd,"[u'hip hop', u'rap', u'rhythm and blues', u'canadian']"
204ky,"[u'indie', u'experimental', u'pop', u'alternative', u'indie pop', u'male vocalists']"
2055a,"[u'hip hop', u'rap', u'soul', u'alternative rap']"
205f7,"[u'quirky', u'indie folk', u'folk', u'good tims', u'instant feel-good', u'insane happiness', u'indie', u'indie rock', u'fun music', u'hand clapping']"
1ksca,"[u'hip hop', u'funk', u'blues', u'jazz', u'soul', u'chicago']"
1ksjr,"[u'female vocalist', u'indie', u'indie pop', u'alternative', u'folk', u'british']"
1ksb9,"[u'indie rock', u'experimental', u'indie', u'freak folk', u'avant-garde']"
1d055,"[u'house', u'electronic', u'progressive house', u'electro', u'minimal']"
1ks3x,"[u'groovy', u'grove punk', u'trippy', u'stoner rock']"
1ks63,"[u'pop', u'british', u'psychobilly', u'garage rock', u'the wanted']"
1kr6z,"[u'female vocalist', u'indie', u'indie pop', u'pop', u'alternative']"
1krb0,"[u'minimal techno', u'minimal', u'house', u'progresive house', u'dance', u'electronica', u'electronic', u'electro']"
11sem,"[u'indie', u'indietronica', u'electronic', u'summer', u'2010s', u'a good day', u'dance', u'british', u'indie pop', u'night driving']"
1m1d0,"[u'electronic', u'brazilian', u'electroclash', u'electro', u'electropop']"
1ky0n,"[u'dubstep', u'electronic', u'electro']"
1m0a7,"[u'surf shit', u'stoner', u'greensboro']"
1kzn8,"[u'hip hop', u'rap', u'indie', u'underground hip hop']"
1kzfe,"[u'house', u'electronic', u'electro', u'techno', u'electronica']"
1m0ab,"[u'shoegaze', u'electronic', u'indie', u'dreampop', u'pop', u'post-rock', u'electronica', u'dreamy', u'rock', u'00s']"
1kzak,"[u'street punk', u'electronic', u'punk', u'melodic punk', u'00s', u'pop']"
1k8g5,"[u'indie', u'british', u'disco', u'electronic', u'uk', u'united kingdom']"
1kqq6,"[u'experimental', u'indie', u'chillwave', u'dreampop', u'avant-garde']"
1ksgh,"[u'90s', u'rock', u'pop', u'female vocalist', u'alternative', u'no doubt', u'ska', u'sad', u'alternative rock']"
1ktar,"[u'house', u'electro house', u'epic', u'dance', u'electronic', u'metalcore', u'electro', u'pure awesome']"
1ks44,"[u'tropical', u'lo-fi', u'experimental']"
