tag,total,tag_true_rate
'west coast',1,0.00240963855422
'what a cover',1,0.00240963855422
'whistling',3,0.00722891566265
'white rabbits',1,0.00240963855422
'whitest boy alive',1,0.00240963855422
'wilco',1,0.00240963855422
'winter',2,0.00481927710843
'women',1,0.00240963855422
'wonky',1,0.00240963855422
'woody guthrie',1,0.00240963855422
'xaphoon jones',1,0.00240963855422
'yacht',1,0.00240963855422
'yael naim',1,0.00240963855422
'yap',1,0.00240963855422
'yeah',1,0.00240963855422
'yes means no',1,0.00240963855422
'yes',1,0.00240963855422
'yodeling',1,0.00240963855422
'young money',1,0.00240963855422
'yum',1,0.00240963855422
'yyeeeessssss',1,0.00240963855422
'zeds dead',1,0.00240963855422
'zierkafasza',1,0.00240963855422
'zipcodes',1,0.00240963855422
'zone',1,0.00240963855422
'zum-durch-den-ikea-poebeln',1,0.00240963855422
"u""death'n'roll""",1,0.00240963855422
"u""drum'n'bass""",2,0.00481927710843
