artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Camellia sinensis,1380905916,0,1zmwb,1,The Devil Has The Best Tuna,179,Pregnant with the Day,lofi
The Mountain Goats,1380465225,2,1nt3q,2,Largehearted Boy,203,FM,lofi
Weather Balloons,1380554235,2,1pvr2,2,GIMME TINNITUS,84,Suck Crimped Pricks 'Cus,lofi
Teen Mom,1380019761,4,1zdkg,1,Sounds Better With Reverb,276,Stay Inside,lofi
The Dead Ships,1380333683,8,1zd4b,2,Indie Rock Reviews,216,Cass McCombs,lofi
sleepy eyes,1376684934,10,1ymxx,1,Potholes In My Blog,93,circles,lofi
Fire Island Pines,1367376652,2,1w8pn,1,When You Motor Away,291,Cherry Grove,lofi
Fire Island Pines,1367376656,4,1w8pp,1,When You Motor Away,187,Midwest,lofi
Strip Down,1366276037,1,1vyta,1,LOCAL SUICIDE,194,q.q.c.,lofi
Ray Willson,1367036895,66,1m0hw,6,newdust,175,Ice Cream Truck,lofi
The Dead Ships,1366211167,25,1rk8y,2,Sirens of Decay,306,When I go Away,lofi
Green Gerry,1366188291,3,1vxvn,1,Sound Injections,257,La La Lonely Maria #1(Art School Conversations),lofi
The Dead Ships,1366211143,9,1vy4m,1,Sirens of Decay,52,Ophelia,lofi
SELA.,1365760899,7,1vt5m,1,their bated breath,219,Cold (extended),lofi
Go Dugong,1370866768,3,1x6d4,1,The 405,338,Go Dugong - Carry a flag (Sun Glitters Gloaming Remix),lofi
Go Dugong,1370866771,9,1x6d5,1,The 405,277,Carry A Flag (feat. LIFE&LIMB),lofi
Fluorescent Heights,1370537525,3,1tejd,2,Discheria ElRocco 0.01,499,Descendants Of Lost Continent (Sicsic Tapes),lofi
Lowpines,1370823701,9,1x670,1,This Is That Song,155,02 Heavy-hander,lofi
O Tortuga,1369893637,5,1wyqn,1,Matinée as Hell,134,Foránea,lofi
Fluorescent Heights,1370537529,8,1td97,4,Discheria ElRocco 0.01,575,Beyond The Waves Of Lust (Sicsic Tapes),lofi
the Mountain Goats,1368965450,71,9gzc,8,Largehearted Boy,231,Two-Headed Boy,lofi
Lowpines,1369153222,5,1wr83,1,electric sound of joy,56,Mona Lisa,lofi
Fire Island Pines,1367870644,3,1wcnx,1,movimenta,37,Cherry Grove,lofi
Fire Island Pines,1367870726,8,1w8pq,2,movimenta,174,1915,lofi
Strip Down,1366276041,2,1vytb,1,LOCAL SUICIDE,233,Supermarché,lofi
