artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Ron Basejam,1431433777,4,2b9ax,1,Le Limonadier,204,We Know How To Work It (feat Danielle Moore),funk
Kraak & Smaak,1431422212,2029,2amsd,7,Stereofox,205,All I Want Is You (feat. Keyhole),funk
OutKast,1431425698,5057,2b6yd,3,Your Music Radar,194,Roses (PLS&TY Remix),funk
Mayer Hawthorne,1431358526,1485,275gm,14,Silence Nogood,285,Stay (Live),funk
Selah Sue,1431363090,291,29g4t,3,Stereofox,206,Alone,funk
Fumaça Preta,1431331814,16,27w24,3,Getintothis,273,Tire Sua Máscara,funk
YUNG BAE,1431343331,54,27ay5,2,Cool Breezy,139,Still,funk
Bad Rabbits,1431130460,48,2b5q4,3,1833 FM,185,Way With Words,funk
F.O.E,1430630906,11,2b3xt,1,The Lost Turntable,378,SEX MACHINE,funk
David Ruffin,1430644873,11,2b3ye,1,Across The Kitchen Table,169,Put A Little Love In Your Heart,funk
Roy Ayers,1430611630,13,2b3wv,1,Zatoon,261,everybody loves the sunshine machinedrumfootworkjungle,funk
F.O.E,1430630921,4,2b3xv,1,The Lost Turntable,377,SEX MACHINE : Instrumental,funk
Falcon Punch,1430586010,27,2b3t1,1,Discobelle,180,Move,funk
Jungle,1430492187,28,2a0cb,6,Mixmag,242,The Heat (Zomby '92 Remix),funk
Klaus Weiss,1433452266,0,2bpw3,1,Ambiance Jeune,435,Racehorse 1,funk
Peking Duk,1430442910,13732,22fpa,20,Maddecent,228,High (feat. Nicole Millar),funk
Lenny Fontana,1430492257,12,2b377,1,Mixmag,264,Chocolate Sensation (Special Request Remix),funk
Flight Facilities,1430928909,170,2ay86,3,Stoney Roads,191,Down To Earth (Radio Edit),funk
The Geek x Vrv,1430929874,31,2b5pz,1,Future Classics,217,Waves,funk
Crazy P,1430855496,144,2a62v,3,Dancing Astronaut,295,Cruel Mistress,funk
Kathy Diamond,1433452411,0,2bpw8,1,Ambiance Jeune,367,All Woman (Instrumental),funk
Monks of Mellonwah,1430792480,6,2axtb,2,Tuned Up,171,Never Been Good,funk
The Staple Singers,1430841620,7,2b561,1,Crying All The Way To The Chip Shop,387,Slppery People,funk
Baby Huey,1430754645,22,2b4f2,1,MOARRR,298,Hard Times (The Apple Scruffs Edit),funk
The Unemployed,1430757338,15,2b4fz,1,Gazfunk,138,They Won't Let Me,funk
Context,1430728928,6,2b48q,1,God Is In The TV ,235,In The Bag,funk
Gramatik,1430758155,265,262yg,3,Pause Musicale,129,Probmatik Monster Stomp (Feat. ProbCause),funk
Michael Jackson,1430600854,40,2b3wb,1,Yagotamullet's Song of the Day,313,Workin' Day And Night,funk
