artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
The National,1436454436,30,2bw4p,3,Too Many Blogs,250,I Need My Girl (Holiday Oscar Cover),rock
Slow Motion,1436360171,41,2c7be,1,Yaqui,273,Trey Songz (Airia Remix),rock
Desaparecidos,1436367364,21,1tbr4,3,surviving the golden age,222,Anonymous,rock
Failure,1436356621,2,2c7az,1,The Revue,292,Hot Traveler,rock
Shoshin,1436360826,1,2c7br,1,Nicorola,257,All For U.S,rock
The Revivalists,1436324424,31,2c169,2,The Music Court,274,Wish I Knew You,rock
snacks,1436321061,6,2c748,1,The Ripe,230,between you & me,rock
The Revivalists,1436324419,68,2bpqw,3,The Music Court,255,Keep Going,rock
HI-LO,1436306423,56,2c6yw,2,Kick Kick Snare,92,Renegade Mastah,rock
Black Vanilla,1436813368,10,2c17q,5,I heard a whisper,261,Slug,rock
FFS,1436400075,74,2at9p,9,IndiePANTS,192,Johnny Delusional,rock
Sports,1436410567,27,2c7t7,1,Indie Underground,199,Panama,rock
Twin Peaks,1436380106,50,2apw0,7,audiofemme,216,Got Your Money,rock
The Rebel,1436393281,13,2bjc4,2,monkeyboxing,191,Soul Power,rock
Veruca Salt,1436370325,34,2bdzw,7,No Country For New Nashville,136,Laughing In The Sugar Bowl,rock
The Earlies,1436374610,2,2c7fz,1,Clash Magazine,232,Disappearing Man,rock
STANDARDS,1436367378,2,2c7df,1,"Quick, Before It Melts.",188,Scatter,rock
Mac DeMarco,1436368221,1629,1nrp8,64,Soundfriend,191,My Kind of Woman,rock
Sloan,1436364452,0,2c7cr,1,nyctaper,225,Carried Away (live at Rough Trade),rock
Sloan,1436364456,0,2c7cs,1,nyctaper,247,Three Sisters (live at Rough Trade),rock
operator,1436353663,1,2c7a1,1,The Deli Magazine,222,Requirements 1 11,rock
young jesus,1436230149,41,2b4e1,7,acid stag,256,09 Milo,rock
Max and the Moon,1436230145,16,2bnfd,3,acid stag,204,Turbulent,rock
Red 7,1436215758,7,2c6cq,1,ERRANT,550,I Lost My Shoes On Acid,rock
stonefield,1436222525,41,2bdmc,8,Popped Music,221,Golden Dream,rock
Grateful Dead,1436206905,5,2c5j4,5,Chart Attack,393,Passenger (live in Chicago),rock
MULA,1436202890,17,2c682,1,Pitchfork,195,Playa (Borchi Remix),rock
Allman Brown,1436203019,34,2bry3,6,The Wild Honey Pie,192,Hollows,rock
Pega Monstro,1436197781,22,2b70w,4,Another Dying Art Form,193,'Braço De Ferro',rock
Grateful Dead,1436196584,4,2c5vt,2,BrooklynVegan,638,The Golden Road (live in Chicago),rock
Shelf Life,1436301035,8,2c4e7,5,stereogum,161,The Curse,rock
flor,1436305838,2534,2c135,12,What Else Is There?,246,warm blood,rock
The Parlor,1436295598,34,2bbwc,2,Turntable Kitchen,175,The Surgeon's Knife,rock
Radioactivity,1436298134,35,2at6c,7,Pitchfork,125,Silent,rock
Helen,1436281626,6,1z6dk,2,Ge Hit Musiken,206,Felt This Way,rock
Cusp,1436289361,1,2c6tr,1,The Quietus,496,Fingerzeugung : The Coagulated Sea,rock
The Lovely Intangibles,1436252203,4,2c6gz,1,Emerging Indie Bands,186,Divine,rock
The Kickback,1436278961,8,2c6nx,1,Speak Into My Good Eye,288,White Lodge,rock
The Magic Numbers,1436248167,34,8vvb,2,THE VINYL VILLAIN,251,Forever Lost,rock
Mutoid Man,1436247311,9,2bd6y,4,Spectrum Culture,172,Reptilian Soul,rock
ViLLAGE,1436210161,101,1mk2c,2,Never Radio,301,Takeover,rock
Day Wave,1436198165,1938,2bsjh,36,Inthejunkyardmusic,219,We Try But We Don't Fit In,rock
Last Post,1436174054,0,2c5zg,1,The 'Spill,204,Silence Seems To Say...,rock
Noah,1436167686,19,2btsb,4,The 405,300,Flexion,rock
HAPPY MEALS,1436171716,26,26zgn,7,God Is In The TV ,195,Altered Images,rock
Laser Background,1436120080,2,2c5tv,1,The Deli Magazine,176,Hand-in-hand,rock
Kurt Baker Band,1436097369,4,2c5s5,1,50thirdand3rd,107,Quit Dancing With My Girl,rock
Fufanu,1436104575,19,2b8wv,5,Burl Veneer's Music Tumblr,276,Will We Last,rock
Jaymes Young,1436052109,1681,2c5q2,1,Different Kitchen,279,Moondust feat. Lana Del Rey (Instant Party! Remix),rock
Hockey Dad,1436076852,55,2aaht,8,An Audio Life,190,Can't Have Them,rock
Bad Guys,1436195780,4,2c65m,1,The Quietus,369,CRIME,rock
Monday,1436198173,6,2c66f,1,1833 FM,158,XVRHLDY & Trapo (prod. Romby),rock
Slow And Steady,1436191285,2,2c63y,1,Side One Track One,251,Watching Life Go By,rock
Taxi Taxi,1436194253,16,2a8mf,5,Nordic by Nature,268,Floating Forever,rock
vox,1436181688,44,28ttv,5,Turntable Kitchen,239,Better,rock
The Unravelling,1436187128,1,2c62b,1,Under The Gun,338,Master Drone,rock
THE TURTLES,1436175880,24,2c600,1,MOARRR,361,HAPPY TOGETHER (LUXXURY EDIT),rock
vox,1436181679,46,29fp8,13,Turntable Kitchen,240,Money,rock
HEADS.,1436175876,0,2c5zz,1,12XU,330,The Voynich Manuscript,rock
HEADS.,1436175778,3,2am8y,3,12XU,232,A Mural Is Worth A Thousand Words,rock
The Libertines,1436131269,45,2c52e,3,Overblown Webzine,174,Gunga Din,rock
permanent vacation,1435942198,9,2c5bz,1,Last Gas Station,319,Woolfy Vs. Projections Combination,rock
Pretty Vicious,1435942217,3,2c5c2,1,The Devil Has The Best Tuna,333,Just Another Story,rock
bellwire,1435937324,2,2c5aw,1,Niche Music,151,Time Out,rock
Controller,1435942159,31,2btcm,6,audiofemme,188,Flame,rock
Florence + The Machine,1435928434,53,2c598,1,surviving the golden age,247,What Kind Of Man,rock
Moby Grape,1435928428,5,3yd3,2,Star Maker Machine,58,"Naked, if I Want to",rock
Exohxo,1435929262,7,2c59a,1,Insomnia Daily Dose,186,Past Lives,rock
Leonard Cohen,1435926505,50,2c4nw,2,How do you are?,393,Nevermind (PillowTalk Re-Rub),rock
Leonard Cohen,1435926490,17,2c58v,1,How do you are?,472,Nevermind (Ben Gomori's True Detective 2 Edit),rock
Wilco,1436034908,8,2c56x,3,Consequence of Sound,227,Hesitating Beauty (live at Solid Sound 2015),rock
Stillwave,1436036165,92,2brwt,6,Queen Beetch,241,From Here,rock
Slow Turismo,1436014822,18,2c5dt,3,Niche Music,186,I Sit Down As Soon As I Get Up,rock
Slow Turismo,1436014825,31,29kj9,12,Niche Music,190,Corners,rock
The Phoenix Foundation,1436008449,5,2c5g7,2,Sonofmarketing,290,Give Up Your Dreams,rock
Fever 105,1436008531,18,2c5k6,1,MCL: Musique au Claire de Lune,230,The Other Side,rock
ECSTATIC VISION,1435977117,4,2c5h3,1,Burl Veneer's Music Tumblr,583,Cross the Divide,rock
Tona,1435980495,8,2c5h7,1,Different Kitchen,162,Luv It,rock
