acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mediaid,speechiness,tempo,time_signature,valence
0.674921,0.655719,316.83955,0.436166,0.108383,0.138119,-11.543,1b90q,0.029459,127.219,4,0.149766
0.295503,0.571731,215.4,0.856659,5e-06,0.057473,-7.122,1b93h,0.114787,145.989,4,0.671584
0.114106,0.632049,240.11955,0.963267,0.00023,0.138325,-5.83,1ba33,0.067798,112.998,4,0.711155
3.3e-05,0.674589,222.37995,0.381269,0.068247,0.314482,-18.351,1baxw,0.146575,128.071,4,0.128046
0.000613,0.535118,170.81288,0.880766,6.3e-05,0.113844,-9.228,1bbds,0.041269,89.939,4,0.746966
0.002327,0.560513,242.87955,0.607682,3e-05,0.274068,-10.393,1bbdt,0.026441,97.882,4,0.542117
0.409448,0.579642,316.06621,0.48689,0.002021,0.146715,-10.032,1bbdv,0.031274,90.463,4,0.461361
0.07123,0.677917,209.95955,0.475426,3e-06,0.110724,-7.083,1bbdw,0.031909,74.051,4,0.673398
0.53443,0.635698,209.41288,0.423056,0.0,0.123093,-11.394,1bbdx,0.058128,90.177,4,0.38432
0.049165,0.553498,232.25288,0.654229,0.0,0.12658,-6.778,1bbhp,0.033745,88.05,4,0.382445
0.757001,0.585361,255.53333,0.207555,2.7e-05,0.099253,-15.7,1bbvs,0.032284,147.836,4,0.25304
0.122225,0.722512,213.76599,0.890828,0.0,0.379443,-4.31,1bc3v,0.131081,163.995,4,0.889986
0.956627,0.545645,293.46621,0.073447,0.009212,0.110521,-15.95,1bd94,0.030624,95.578,4,0.088878
0.044205,0.629477,230.42621,0.806562,0.0,0.528839,-6.269,1bdj5,0.051436,110.114,4,0.198971
0.013889,0.63357,175.16517,0.826925,1.3e-05,0.04179,-4.491,1bdm3,0.083757,127.97,4,0.842018
0.879105,0.510141,169.74621,0.338965,2e-06,0.092606,-7.759,1bdxz,0.034609,88.833,4,0.558959
0.762659,0.679333,219.30621,0.634115,3.1e-05,0.148372,-11.344,1bera,0.041734,105.021,5,0.349624
0.000138,0.633701,314.85333,0.759101,0.117716,0.126863,-4.365,1bp6,0.182479,135.063,4,0.310838
0.028907,0.612371,227.77288,0.751339,0.015429,0.074372,-6.295,1bptt,0.031206,124.05,4,0.88339
0.000394,0.404524,223.55955,0.709554,0.027804,0.063579,-6.65,1cjz9,0.031657,140.053,4,0.262086
0.755653,0.749678,205.88957,0.36665,1.1e-05,0.239603,-13.667,1csa5,0.031087,101.394,4,0.571928
0.086412,0.793675,195.81342,0.651973,0.000117,0.088415,-9.101,1d7tj,0.173701,92.008,4,0.838008
0.013374,0.612236,265.82354,0.580485,0.000676,0.102926,-15.55,1ddwn,0.042391,112.095,4,0.605898
