loved,posted_count,loved_count,artist_index_mod,speechiness,loudness,tagsum,artist,title,sitename,mediaid,site_index_mod,tagsum_raw
FALSE,0.013452915,0.212155511,0,0.040849,0.889847628,0.125,swedishhousemafia,Greyhound (Original Mix),EARMILK,1jphx,0,1
FALSE,0.192825112,0.10002369,0,0.107201,0.729048828,0,kindness,House,Genre Confused,1k8g5,0,0
FALSE,0.022421525,0.28693638,0.5,0.034642,0.800848436,0.375,hoodieallen,No Faith In Brooklyn (Feat. Jhameel),This Bonus Track,1kbc4,0.5,3
FALSE,0.00896861,0.154194414,0,0,0.949238139,0,aviciifeatsalemalfakir,Silhouettes (Original Vocal Mix),EARMILK,1kbcn,0,0
FALSE,0.022421525,0.07999263,0,0.026522,0.654219093,0.125,amadoumariam,Je pense a toi,the steely stylus,1kbzc,0,1
FALSE,0.067264574,0.050880472,0,0,0.949238139,0,activechild,Hanging On (GRVRBBRS Remix),Indiehere,1kqq6,0,0
FALSE,0.058295964,0.084572662,0,0,0.949238139,0.125,fosterthepeople,Don't Stop (Oliver Remix),All Things Go,1kr1b,0.666666667,1
FALSE,0.107623318,0.055697402,0,0,0.949238139,0.125,lanadelrey,Blue Jeans feat. Azealia Banks (Smims&Belle Extended Remix),Cougar Microbes,1kr6z,0.2,1
FALSE,0.01793722,0.063488721,0,0,0.949238139,0.125,joelzimmerman,Closer Rev.2,Your Music Radar,1krb0,0,1
FALSE,0.02690583,0.038561765,0,0.053037,0.788699065,0,fluxpavilion,Daydreamer feat. Example (Jack Beats Remix),Salacious Sound,1krp8,0,0
TRUE,0,0.020715433,0,0.062631,0.529233522,0.5,feist,Secret Heart,This Is That Song,1krzh,0,4
FALSE,0.004484305,0.051064726,0,0,0.949238139,0.25,xv,Pictures On My Wall,Et Musique Pour Tous,1ks0q,0,2
FALSE,0.013452915,0.041562475,0,0,0.949238139,0.125,throttle,Next Big Thing (Original Mix),REMIX86,1ks3x,0,1
FALSE,0.00896861,0.01560896,0,0,0.949238139,0,ewokfur,moving to antarctica sounds quite ok,guerolitomusic,1ks44,0,0
FALSE,0,0.050196099,0,0.078592,0.648678287,0,summerheart,I Wanted You To Stay On the Other (Side),Hilly Dilly,1ks5c,0,0
FALSE,0,0.062778026,0,0.053308,0.806793259,0.25,greglaswell,Come Back Down (feat. Sara Bareilles),POP ON AND ON,1ks5y,0,2
FALSE,0,0.028401464,0,0,0.949238139,0,thewanted,Chasing The Sun (Mario Larrea Club Mix),POP ON AND ON,1ks63,0,0
FALSE,0.004484305,0.110578821,0,0,0.949238139,0,bobmarley,Sun Is Shining (Smoke Out Dubstep Remix),The Music Ninja,1ks6g,0,0
